Format,,,,,,,,,,,,,
Venue,,,,,,,,,,,,,
Vehicle,,,,,,,,,,,,,
Driver,,,,,,,,,,,,,
Device,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,
Log Date,s,,,,,,,,,,,,
Log Time,s,,,,,,,,,,,,
Sample Rate,s,,,,,,,,,,,,
Duration,m,,,,,,,,,,,,
Range,m,,,,,,,,,,,,
Beacon Markers,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,G Force Lat,G Force Long,G Force Vert,Damper Pos FL,Damper Pos FR,Damper Pos RL,Damper Pos RR,Wheel Speed FL,Wheel Speed FR,Wheel Speed RL,Wheel Speed RR,Steering Wheel Angle,Engine Speed
s,G,G,G,mm,mm,mm,mm,km/h,mph,km/h,km/h,deg,rpm
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,1.3,0.04,-0.02,7.3,-33.29,12.26,-23.5,0,25.1,40.2,40.8,-78.7,6846
0.02,1.36,-0.03,0.12,7.6,-33.39,12.48,-23.14,0,25.1,40,40.5,-78.7,6822
0.04,1.42,-0.04,0.07,10.61,-33.21,13.06,-22.57,0,25,39.7,40.2,-78.6,6756
0.06,1.37,-0.03,0.04,8.66,-33.29,13.72,-22.14,0,25.1,39.4,40.1,-78.7,6687
0.08,1.32,0.02,0.08,7.03,-33.29,13.84,-22.04,0,25.1,39.2,40.1,-77.5,6621
0.1,1.32,0.07,-0.05,8.74,-33.37,13.49,-22.49,0,25.1,38.7,40.1,-77.7,6570
0.12,1.28,0.1,-0.04,11.85,-33.39,13.2,-22.77,0,24.9,37.8,40,-77.2,6546
0.14,1.2,0.11,-0.08,20.93,-33.33,13.18,-22.89,0,24.7,36.8,40,-77.5,6510
0.16,1.21,0.09,-0.13,11.85,-33.33,13.35,-22.55,0,24.7,36.5,39.6,-77.1,6480
0.18,1.26,0.06,-0.09,10.21,-32.87,13.67,-21.96,0,24.7,36.5,39.2,-77.9,6501
0.2,1.44,0.02,0.04,9.87,-32.9,14.19,-21.13,0,24.7,36.5,38.8,-76.3,6516
0.22,1.48,-0.03,0.15,10.43,-33.31,14.31,-20.86,0,24.6,36.7,39,-75.8,6507
0.24,1.4,0.04,0.09,8.36,-34.13,14.02,-21.47,0,24.5,36.9,39.2,-75.9,6642
0.26,1.32,0.09,0.01,8.06,-34.22,13.57,-22.3,0,24.5,36.4,39.1,-75.2,6837
0.28,1.21,0.09,-0.11,12.66,-33.85,13.14,-22.73,0,24.4,35.8,38.9,-74.5,7041
0.3,1.18,0.04,-0.21,19.85,-33.62,13.04,-22.83,0,24.4,35.9,38.8,-74.4,7158
0.32,1.22,-0.12,0.06,8.04,-33.54,13.08,-22.39,0,24.2,38.4,38.8,-72.9,7131
0.34,1.25,-0.15,-0.01,7.42,-33.37,13.35,-21.72,0,24.1,40.8,38.8,-75.1,7233
0.36,1.28,-0.14,-0.08,7.28,-33.37,13.37,-21.29,0,24.1,41.8,39.1,-74,7386
0.38,1.19,-0.15,-0.03,7.18,-32.9,12.94,-21.43,0,24.1,42.4,39.4,-74,7326
0.4,1.18,-0.24,-0.09,7.36,-32.3,12.44,-22.26,0,24.2,42.8,39.7,-73.4,7176
0.42,1.26,-0.32,-0.16,8.96,-31.2,11.93,-23.46,0,24.3,43,39.9,-74,7059
0.44,1.24,-0.28,0.02,6.73,-30.96,11.91,-23.99,0,24.5,43.1,40.1,-73,7044
0.46,1.38,-0.17,0.1,9.93,-31.41,12.3,-24.11,0,24.6,42.9,40.1,-74.4,7092
0.48,1.38,-0.16,0.13,14.61,-31.88,12.85,-23.99,0,24.7,42.5,40,-73.2,7197
0.5,1.32,-0.16,0.04,9.1,-31.84,13.35,-24.13,0,24.7,42.5,40,-71.3,7269
0.52,1.29,-0.15,0.01,8.18,-31.45,14.23,-24.11,0,24.7,43.1,39.9,-73.2,7317
0.54,1.15,-0.1,-0.06,15.13,-30.44,14.95,-24.15,0,24.7,43.6,39.8,-72.1,7383
0.56,1.27,-0.05,-0.22,11.69,-30.32,15.52,-23.91,0,24.7,44.6,39.7,-74.3,7518
0.58,1.4,-0.08,0.04,30.61,-30.61,15.71,-23.75,0,24.8,45.7,39.5,-71.8,7620
0.6,1.38,-0.1,0.12,8.38,-31.16,15.69,-23.99,0,24.8,46.5,39.5,-73.9,7665
0.62,1.29,-0.1,-0.03,9.71,-31.18,15.54,-24.23,0,24.6,46.7,39.8,-73.4,7668
0.64,1.27,-0.14,0.01,9.3,-31.29,14.95,-24.23,0,24.5,46.9,40,-72.1,7596
0.66,1.21,-0.25,-0.04,11.29,-30.98,14.02,-24.33,0,24.5,46.4,40.2,-72.4,7416
0.68,1.15,-0.3,-0.11,16.49,-30.54,13.45,-24.27,0,24.6,45.7,40.4,-72,7278
0.7,1.24,-0.27,-0.09,7.6,-30.98,13.04,-24.31,0,24.7,45,40.5,-70.7,7221
0.72,1.28,-0.24,0.12,8.08,-32.28,12.5,-23.95,0,24.8,44.2,40.7,-67.9,7182
0.74,1.2,-0.27,0.01,10.03,-31.74,12.05,-23.66,0,24.8,43.3,40.9,-65.3,7089
0.76,0.99,-0.3,-0.3,8.68,-29.8,10.94,-23.32,0,24.8,42,40.9,-61.9,6960
0.78,0.82,-0.31,-0.23,7.86,-26.93,9.67,-23.48,0,24.7,40.5,41,-58.4,6747
0.8,0.8,-0.22,-0.16,8.68,-26,9.24,-24.01,0,24.6,39.5,40.8,-53.7,6636
0.82,0.88,-0.09,-0.28,9.61,-26.71,9.59,-23.75,0,24.6,39.9,40,-48.5,6615
0.84,0.78,-0.04,-0.1,7.44,-27.14,10.64,-23.54,0,24.7,40.3,39.3,-44.4,6582
0.86,0.76,0,-0.11,15.13,-27.24,11.52,-22.91,0,24.6,40.1,39,-40.4,6585
0.88,1.02,-0.07,-0.06,22.86,-27.18,12.48,-21.57,0,24.4,39.7,39,-38.1,6591
0.9,1.1,-0.3,0.41,12.78,-27.06,12.89,-20.36,0,24.3,39,38.9,-35.8,6552
0.92,0.72,-0.2,0.09,7.56,-27.22,11.66,-19.83,0,24.4,37.5,39,-36.8,6519
0.94,0.43,-0.01,-0.11,8.7,-27.39,10.45,-19.87,0,24.4,36,39,-41.4,6462
0.96,0.72,0.05,0.07,7.26,-27.37,9.14,-20.9,0,24.4,35.8,38.8,-46.2,6438
0.98,1,0.01,0,8.06,-28.4,7.74,-22.06,0,24.3,36.2,38.4,-49.6,6396
1,0.88,0.01,-0.06,7.01,-29.06,7.09,-22.89,0,24.1,36.4,38.2,-52.4,6261
1.02,0.93,0.02,0.08,5.51,-31.41,7.02,-22.65,0,23.8,36.5,38,-55,6156
1.04,1.04,-0.06,0.12,10.17,-30.52,6.96,-21.96,0,23.5,36.5,37.8,-55.7,6030
1.06,1.04,-0.08,-0.25,6.13,-30.13,6.78,-21.19,0,23.5,36.3,37.7,-56.6,5961
1.08,0.86,-0.02,0.04,4.71,-29.41,6.74,-20.84,0,23.7,36,37.5,-58.8,5880
1.1,0.8,0.09,0,6.49,-28.65,7.31,-20.34,0,23.9,35.6,37.4,-61,5892
1.12,1.22,0.14,-0.01,4.69,-29.8,7.31,-19.6,0,23.9,35.1,37.4,-61.2,5916
1.14,1.19,0.17,0.06,4.36,-30.87,8.3,-18.87,0,23.9,34.5,37.3,-62.9,6135
1.16,1,0.26,0.21,3.88,-32.09,9.38,-19,0,23.8,33.2,37.3,-63,6144
1.18,1.15,0.14,0.15,3.62,-31.47,10.7,-19.2,0,23.7,31.8,37.3,-63.7,6150
1.2,1.12,0.08,-0.18,6.73,-30.77,11.54,-19.04,0,23.6,30.9,37.3,-64.1,6270
1.22,0.93,0.09,0.16,11.27,-31.08,11.64,-19.34,0,23.7,31.8,37.3,-64.8,6321
1.24,0.99,0.05,0.14,2.74,-31.33,11.64,-19.34,0,23.8,32.6,37.2,-65.9,6459
1.26,1.2,0.03,0.05,1.83,-31.74,11.62,-19.89,0,23.8,33.1,37.3,-67.6,6594
1.28,1.15,0.01,0.17,8.78,-32.65,11.62,-20.64,0,23.7,33.6,37.5,-66.5,6834
1.3,1.05,0.04,0.2,9.18,-34.61,11.23,-21,0,23.6,34.1,37.6,-67.9,7122
1.32,0.93,-0.01,-0.1,2.54,-33.37,10.78,-20.86,0,23.4,34.9,37.8,-68.4,7215
1.34,0.78,-0.26,-0.24,2.48,-29.74,9.55,-20.56,0,23.2,35.6,37.9,-66.7,6999
1.36,0.67,-0.5,-0.1,2.86,-26.25,7.99,-21,0,23.2,37.2,38.2,-69.1,6804
